1,601336,新华保险,59.70,4.39,8340.27,5.04,6216.95,3.75,2123.31,1.28,-2872.01,-1.73,-5468.26,-3.30,2019-04-15 15:00:00,2.51,
2,300471,厚普股份,13.53,-1.74,-1576.55,-2.80,-600.12,-1.06,-976.43,-1.73,524.09,0.93,1052.45,1.87,2019-04-15 15:00:00,-0.24,
1,600741,华域汽车,23.55,-1.88,-3618.22,-7.37,161.15,0.33,-3779.37,-7.70,-2507.32,-5.11,6125.54,12.48,2019-04-15 15:00:00,-0.45,
1,600000,浦发银行,11.47,-0.17,8931.57,11.14,8610.50,10.74,321.07,0.40,-5996.38,-7.48,-2935.19,-3.66,2019-04-15 15:00:00,-0.02,
2,000514,渝开发,6.93,1.17,-765.64,-1.65,1011.97,2.18,-1777.62,-3.82,-368.26,-0.79,1133.90,2.44,2019-04-15 15:00:00,0.08,
1,603998,方盛制药,12.45,-0.80,-13816.90,-12.41,-1319.07,-1.19,-12497.82,-11.23,4521.16,4.06,9295.74,8.35,2019-04-15 15:00:00,-0.10,
2,002451,摩恩电气,14.65,1.60,-301.32,-0.42,-15.92,-0.02,-285.39,-0.40,-1572.78,-2.20,1874.10,2.62,2019-04-15 15:00:00,0.23,
2,300194,福安药业,8.42,10.07,11731.23,13.04,12248.59,13.61,-517.36,-0.57,-6698.67,-7.44,-5032.56,-5.59,2019-04-15 15:00:00,0.77,
2,002750,龙津药业,18.54,-6.17,-4642.08,-7.07,-2511.94,-3.82,-2130.14,-3.24,-627.94,-0.96,5270.02,8.02,2019-04-15 15:00:00,-1.22,
1,603329,上海雅仕,25.38,-2.91,-4670.87,-9.21,-20.20,-0.04,-4650.67,-9.17,-303.10,-0.60,4973.97,9.81,2019-04-15 15:00:00,-0.76,
2,002665,首航节能,4.86,0.41,814.85,2.23,2618.35,7.16,-1803.50,-4.93,-1001.52,-2.74,186.67,0.51,2019-04-15 15:00:00,0.02,
2,300378,鼎捷软件,19.78,-6.26,-1883.82,-2.10,-2072.31,-2.31,188.48,0.21,-5521.36,-6.16,7405.19,8.26,2019-04-15 15:00:00,-1.32,
1,600066,宇通客车,14.71,0.41,-372.54,-0.75,886.80,1.79,-1259.34,-2.55,-1015.62,-2.05,1388.16,2.81,2019-04-15 15:00:00,0.06,
2,000996,中国中期,16.31,-5.17,-9154.50,-14.98,-1839.72,-3.01,-7314.77,-11.97,1039.40,1.70,8115.10,13.27,2019-04-15 15:00:00,-0.89,
2,300495,美尚生态,14.05,2.63,4966.44,19.57,2455.26,9.68,2511.18,9.90,-1343.87,-5.30,-3622.57,-14.28,2019-04-15 15:00:00,0.36,
2,300325,德威新材,5.20,-0.95,-138.63,-0.56,-182.07,-0.74,43.44,0.18,-1385.74,-5.64,1524.36,6.20,2019-04-15 15:00:00,-0.05,
2,300694,蠡湖股份,27.29,10.00,11430.14,17.06,10741.86,16.03,688.28,1.03,-6080.80,-9.08,-5349.35,-7.98,2019-04-15 15:00:00,2.48,
2,300758,七彩化学,47.01,-0.80,-613.00,-5.28,0.49,0.00,-613.49,-5.28,1.88,0.02,611.12,5.26,2019-04-15 15:00:00,-0.38,
2,002477,雏鹰农牧,2.78,-4.47,-9863.54,-13.81,-4340.28,-6.08,-5523.26,-7.73,1854.00,2.60,8009.54,11.21,2019-04-15 15:00:00,-0.13,
2,300618,寒锐钴业,89.70,-1.63,-3731.66,-6.78,-4144.27,-7.53,412.62,0.75,915.63,1.66,2816.02,5.12,2019-04-15 15:00:00,-1.49,
1,603128,华贸物流,10.45,3.77,2402.58,2.62,4269.53,4.66,-1866.95,-2.04,-718.72,-0.78,-1683.86,-1.84,2019-04-15 15:00:00,0.38,
2,002396,星网锐捷,27.53,-0.76,-5758.02,-7.61,-1779.13,-2.35,-3978.89,-5.26,2416.03,3.19,3341.99,4.42,2019-04-15 15:00:00,-0.21,
2,000818,航锦科技,12.76,-1.69,-1740.59,-11.56,-644.75,-4.28,-1095.84,-7.28,465.14,3.09,1275.45,8.47,2019-04-15 15:00:00,-0.22,
2,002617,露笑科技,6.67,-5.39,-14785.61,-13.33,-5947.32,-5.36,-8838.29,-7.97,2855.26,2.57,11930.35,10.75,2019-04-15 15:00:00,-0.38,
2,002639,雪人股份,14.26,1.49,-1242.36,-1.25,-1247.94,-1.25,5.58,0.01,-764.20,-0.77,2006.55,2.02,2019-04-15 15:00:00,0.21,
2,300322,硕贝德,16.39,10.00,8126.03,35.66,8712.95,38.23,-586.92,-2.58,-4717.06,-20.70,-3408.97,-14.96,2019-04-15 15:00:00,1.49,
1,601949,中国出版,6.78,10.06,12702.13,20.05,12110.31,19.12,591.82,0.93,-4820.73,-7.61,-7881.40,-12.44,2019-04-15 15:00:00,0.62,
1,600710,苏美达,7.58,10.01,3639.53,5.25,7763.72,11.20,-4124.20,-5.95,-3790.38,-5.47,150.85,0.22,2019-04-15 15:00:00,0.69,
1,601128,常熟银行,8.44,1.44,1635.54,2.84,378.00,0.66,1257.55,2.18,-1310.16,-2.28,-325.39,-0.57,2019-04-15 15:00:00,0.12,
1,600365,通葡股份,6.51,9.97,-212.65,-0.59,2842.51,7.83,-3055.16,-8.42,76.17,0.21,136.48,0.38,2019-04-15 15:00:00,0.59,
